knot_id,total_snapshots,milestones_detected,energy_complexity_correlation,stress_complexity_correlation,avg_complexity,complexity_variance,milestones
user_1,240,0,0.8257182724974552,-0.7763842668808673,0.10781238977495661,0.00042439062093681636,[]
user_2,240,0,0.8257182724974552,-0.7763842668808673,0.16913526580789132,0.0010444719289967944,[]
user_3,240,0,0.8257182724974552,-0.7763842668808671,0.14613646384772777,0.0007797324712862237,[]
user_4,240,0,0.8257182724974552,-0.7763842668808675,0.06207560057630524,0.00014069228785523036,[]
user_5,240,0,0.8257182724974552,-0.7763842668808673,0.11556379717000234,0.00048760936564162767,[]
user_6,240,0,0.8257182724974552,-0.7763842668808671,0.099533006573932,0.0003617118007609579,[]
user_7,240,0,0.8257182724974551,-0.7763842668808673,0.12817674712699034,0.0005998558845553771,[]
user_8,240,0,0.825718272497455,-0.7763842668808671,0.10199705688586909,0.0003798426373943234,[]
user_9,240,0,0.8257182724974552,-0.7763842668808673,0.14426680204029463,0.0007599083938880479,[]
user_10,240,0,0.8257182724974551,-0.7763842668808673,0.09996939051936024,0.0003648904698210445,[]
user_11,240,0,0.8257182724974552,-0.7763842668808674,0.10964667416336908,0.00043895435084001115,[]
user_12,240,0,0.8257182724974552,-0.7763842668808674,0.09625471679511083,0.00033827700202831225,[]
user_13,240,0,0.8257182724974553,-0.7763842668808671,0.07566623820611791,0.00020904159887993374,[]
user_14,240,0,0.8257182724974551,-0.7763842668808673,0.12161027063559603,0.0005399691423204687,[]
user_15,240,0,0.8257182724974553,-0.7763842668808671,0.17649571171906445,0.001137356850230039,[]
user_16,240,0,0.8257182724974553,-0.776384266880867,0.12303683364044139,0.000552711783936172,[]
user_17,240,0,0.8257182724974551,-0.7763842668808673,0.13789444428853923,0.000694259721691806,[]
user_18,240,0,0.8257182724974553,-0.7763842668808674,0.07393471865374153,0.00019958379719703826,[]
user_19,240,0,0.8257182724974554,-0.7763842668808674,0.09660217308868677,0.0003407236065459111,[]
user_20,240,0,0.8257182724974552,-0.7763842668808671,0.07009065253560363,0.00017936951687252668,[]
